Date,Open,High,Low,Close,Adj Close,Volume
2021-08-17,74000.000000,75100.000000,74000.000000,74200.000000,72694.390625,30944847
2021-08-18,73900.000000,74600.000000,73100.000000,73900.000000,72400.476563,29192631
2021-08-19,73500.000000,74400.000000,73100.000000,73100.000000,71616.703125,22166298
2021-08-20,73500.000000,73900.000000,72500.000000,72700.000000,71224.820313,22364803
2021-08-23,73300.000000,74000.000000,73000.000000,73300.000000,71812.640625,19384648
2021-08-24,73900.000000,75700.000000,73900.000000,75600.000000,74065.976563,21016913
2021-08-25,76200.000000,76600.000000,74900.000000,75700.000000,74163.945313,22319664
2021-08-26,76100.000000,76200.000000,74600.000000,74600.000000,73086.265625,16671494
2021-08-27,74300.000000,75000.000000,73800.000000,74300.000000,72792.359375,15172748
2021-08-30,75400.000000,75500.000000,74200.000000,74600.000000,73086.265625,12686999
2021-08-31,74900.000000,76700.000000,74300.000000,76700.000000,75143.656250,24630370
2021-09-01,76700.000000,77100.000000,75900.000000,76800.000000,75241.632813,16114775
2021-09-02,76800.000000,76800.000000,75700.000000,76000.000000,74457.859375,15347486
2021-09-03,76400.000000,76700.000000,76000.000000,76600.000000,75045.687500,12096419
2021-09-06,76800.000000,77600.000000,76600.000000,77300.000000,75731.484375,12861180
2021-09-07,77100.000000,77100.000000,75900.000000,76100.000000,74555.828125,13239401
2021-09-08,76000.000000,76400.000000,75600.000000,76300.000000,74751.781250,11798147
2021-09-09,76400.000000,76600.000000,75000.000000,75300.000000,73772.062500,17600770
2021-09-10,75300.000000,75600.000000,74800.000000,75300.000000,73772.062500,10103212
2021-09-13,75200.000000,76300.000000,75100.000000,76300.000000,74751.781250,11397775
2021-09-14,77100.000000,77700.000000,76600.000000,76600.000000,75045.687500,18167057
2021-09-15,77400.000000,77400.000000,76400.000000,77000.000000,75437.562500,12829128
2021-09-16,77300.000000,77400.000000,76100.000000,76100.000000,74555.828125,13067622
2021-09-17,76300.000000,77200.000000,75900.000000,77200.000000,75633.507813,16289502
2021-09-23,77500.000000,77600.000000,76800.000000,77400.000000,75829.453125,17055590
2021-09-24,77600.000000,77700.000000,77100.000000,77300.000000,75731.484375,12247274
2021-09-27,77300.000000,77700.000000,77000.000000,77700.000000,76123.359375,11699798
2021-09-28,77700.000000,77800.000000,76200.000000,76300.000000,74751.781250,15406382
2021-09-29,74800.000000,75300.000000,73800.000000,74100.000000,72941.523438,23992458
2021-09-30,74300.000000,74800.000000,73700.000000,74100.000000,72941.523438,19919361
2021-10-01,73900.000000,74000.000000,72900.000000,73200.000000,72055.585938,15803395
2021-10-05,73000.000000,73000.000000,71400.000000,72200.000000,71071.226563,24013921
2021-10-06,72600.000000,72800.000000,71200.000000,71300.000000,70185.296875,18956962
2021-10-07,71600.000000,72100.000000,71300.000000,71600.000000,70480.601563,13683532
2021-10-08,72300.000000,72400.000000,71500.000000,71500.000000,70382.171875,14043287
2021-10-12,70700.000000,70900.000000,68700.000000,69000.000000,67921.257813,31001484
2021-10-13,68700.000000,69600.000000,68300.000000,68800.000000,67724.382813,24172015
2021-10-14,69000.000000,69800.000000,68800.000000,69400.000000,68315.007813,19520641
2021-10-15,70200.000000,71000.000000,70000.000000,70100.000000,69004.054688,18051612
2021-10-18,70200.000000,70300.000000,69200.000000,70200.000000,69102.492188,13486391
2021-10-19,70800.000000,71000.000000,70400.000000,70600.000000,69496.242188,9507991
2021-10-20,70700.000000,71000.000000,70200.000000,70300.000000,69200.929688,10151638
2021-10-21,70300.000000,70600.000000,70000.000000,70200.000000,69102.492188,10891094
2021-10-22,70000.000000,70700.000000,70000.000000,70400.000000,69299.359375,8395448
2021-10-25,69900.000000,70600.000000,69500.000000,70200.000000,69102.492188,10029621
2021-10-26,70600.000000,71500.000000,70400.000000,71100.000000,69988.429688,10528252
2021-10-27,71000.000000,71000.000000,70000.000000,70100.000000,69004.054688,10295316
2021-10-28,69500.000000,72200.000000,69500.000000,70700.000000,69594.679688,20644902
2021-10-29,71200.000000,71600.000000,69700.000000,69800.000000,68708.750000,17016151
2021-11-01,70200.000000,70600.000000,69900.000000,69900.000000,68807.187500,11503729
2021-11-02,70800.000000,72200.000000,70700.000000,71500.000000,70382.171875,16812570
2021-11-03,71700.000000,71700.000000,70100.000000,70400.000000,69299.359375,12770428
2021-11-04,71200.000000,71600.000000,70500.000000,70600.000000,69496.242188,11818987
2021-11-05,71600.000000,71600.000000,70200.000000,70200.000000,69102.492188,12667743
2021-11-08,70400.000000,70600.000000,69800.000000,70600.000000,69496.242188,11121981
2021-11-09,70300.000000,71000.000000,70100.000000,70500.000000,69397.804688,11159589
2021-11-10,70300.000000,70900.000000,70200.000000,70200.000000,69102.492188,9422009
2021-11-11,69900.000000,70000.000000,69600.000000,69900.000000,68807.187500,11489122
2021-11-12,70200.000000,70900.000000,69900.000000,70600.000000,69496.242188,10087450
2021-11-15,71700.000000,71900.000000,70900.000000,71400.000000,70283.734375,12420710
2021-11-16,71500.000000,72000.000000,71300.000000,71300.000000,70185.296875,10919239
2021-11-17,71300.000000,71600.000000,70600.000000,70700.000000,69594.679688,11027606
2021-11-18,70700.000000,71000.000000,70200.000000,70200.000000,69102.492188,10144957
2021-11-19,70400.000000,71400.000000,70100.000000,71200.000000,70086.859375,11954728
2021-11-22,73300.000000,75200.000000,73000.000000,74900.000000,73729.007813,27506623
2021-11-23,76000.000000,76000.000000,74500.000000,75300.000000,74122.757813,22029195
2021-11-24,76000.000000,76200.000000,74100.000000,74800.000000,73630.570313,15652305
2021-11-25,75100.000000,75100.000000,73600.000000,73700.000000,72547.773438,12559258
2021-11-26,73500.000000,74100.000000,72000.000000,72300.000000,71169.664063,13002242
2021-11-29,71700.000000,73000.000000,71400.000000,72300.000000,71169.664063,16682559
2021-11-30,73200.000000,73900.000000,70500.000000,71300.000000,70185.296875,30364841
2021-12-01,72000.000000,74800.000000,71600.000000,74400.000000,73236.828125,21954856
2021-12-02,73900.000000,75800.000000,73800.000000,75800.000000,74614.945313,23652940
2021-12-03,75600.000000,76000.000000,74100.000000,75600.000000,74418.070313,18330240
2021-12-06,75100.000000,76700.000000,74900.000000,76300.000000,75107.132813,16391250
2021-12-07,76100.000000,77700.000000,75600.000000,77400.000000,76189.929688,19232453
2021-12-08,78300.000000,78600.000000,77100.000000,77400.000000,76189.929688,21558340
2021-12-09,77400.000000,78200.000000,77000.000000,78200.000000,76977.421875,21604528
2021-12-10,77400.000000,77600.000000,76800.000000,76900.000000,75697.742188,9155219
2021-12-13,77200.000000,78300.000000,76500.000000,76800.000000,75599.312500,15038750
2021-12-14,76500.000000,77200.000000,76200.000000,77000.000000,75796.179688,10976660
2021-12-15,76400.000000,77600.000000,76300.000000,77600.000000,76386.804688,9584939
2021-12-16,78500.000000,78500.000000,77400.000000,77800.000000,76583.671875,11996128
2021-12-17,76800.000000,78000.000000,76800.000000,78000.000000,76780.554688,13108479
2021-12-20,77600.000000,77800.000000,76800.000000,77100.000000,75894.617188,11264375
2021-12-21,77900.000000,78300.000000,77500.000000,78100.000000,76878.984375,14245298
2021-12-22,78900.000000,79400.000000,78800.000000,79400.000000,78158.656250,17105892
2021-12-23,79800.000000,80000.000000,79300.000000,79900.000000,78650.843750,13577498
2021-12-24,80200.000000,80800.000000,80200.000000,80500.000000,79241.460938,12086380
2021-12-27,80600.000000,80600.000000,79800.000000,80200.000000,78946.156250,10783368
2021-12-28,80200.000000,80400.000000,79700.000000,80300.000000,79044.593750,18226325
2021-12-29,80200.000000,80200.000000,78500.000000,78800.000000,77918.328125,19794795
2021-12-30,78900.000000,79500.000000,78100.000000,78300.000000,77423.921875,14236700
2022-01-04,78800.000000,79200.000000,78300.000000,78700.000000,77819.453125,12427416
2022-01-05,78800.000000,79000.000000,76400.000000,77400.000000,76534.000000,25470640
2022-01-06,76700.000000,77600.000000,76600.000000,76900.000000,76039.593750,12931954
2022-01-07,78100.000000,78400.000000,77400.000000,78300.000000,77423.921875,15163757
2022-01-10,78100.000000,78100.000000,77100.000000,78000.000000,77127.289063,9947422
2022-01-11,78400.000000,79000.000000,78000.000000,78900.000000,78017.210938,13221123
2022-01-12,79500.000000,79600.000000,78600.000000,78900.000000,78017.210938,11000502
2022-01-13,79300.000000,79300.000000,77900.000000,77900.000000,77028.406250,13889401
2022-01-14,77700.000000,78100.000000,77100.000000,77300.000000,76435.117188,10096725
2022-01-17,77600.000000,77800.000000,76900.000000,77500.000000,76632.882813,8785122
2022-01-18,77600.000000,77800.000000,76600.000000,77000.000000,76138.476563,9592788
2022-01-19,76500.000000,76900.000000,76100.000000,76300.000000,75446.304688,10598290
2022-01-20,76200.000000,76700.000000,75900.000000,76500.000000,75644.062500,9708168
2022-01-21,75800.000000,75800.000000,74700.000000,75600.000000,74754.140625,15774888
2022-01-24,75400.000000,75800.000000,74700.000000,75100.000000,74259.734375,13691134
2022-01-25,74800.000000,75000.000000,73200.000000,74000.000000,73172.039063,17766704
2022-01-26,74000.000000,74000.000000,74000.000000,74000.000000,73172.039063,0
2022-01-27,73800.000000,74000.000000,71300.000000,71300.000000,70502.250000,22274777
2022-01-28,71300.000000,73700.000000,71200.000000,73300.000000,72479.867188,21367447
2022-02-03,74900.000000,74900.000000,73300.000000,73300.000000,72479.867188,17744721
2022-02-04,74300.000000,74600.000000,73400.000000,74000.000000,73172.039063,12730034
2022-02-07,73500.000000,73600.000000,72400.000000,73000.000000,72183.226563,14240838
2022-02-08,73000.000000,73000.000000,73000.000000,73000.000000,72183.226563,0
2022-02-09,73000.000000,73000.000000,73000.000000,73000.000000,72183.226563,0
2022-02-10,75600.000000,75800.000000,74700.000000,75400.000000,74556.375000,17746033
2022-02-11,75000.000000,75500.000000,74600.000000,74900.000000,74061.968750,12205407
2022-02-14,74400.000000,74500.000000,73100.000000,73700.000000,72875.390625,13993255
2022-02-15,74100.000000,74200.000000,73100.000000,73700.000000,72875.390625,9320365
2022-02-16,74600.000000,74900.000000,74200.000000,74800.000000,73963.085938,10767386
2022-02-17,75000.000000,75600.000000,74500.000000,75000.000000,74160.843750,13605382
2022-02-18,74600.000000,74800.000000,73700.000000,74300.000000,73468.679688,10122226
2022-02-21,74300.000000,74300.000000,74300.000000,74300.000000,73468.679688,0
2022-02-22,74300.000000,74300.000000,74300.000000,74300.000000,73468.679688,0
2022-02-23,74300.000000,74300.000000,74300.000000,74300.000000,73468.679688,0
2022-02-24,72300.000000,72300.000000,71300.000000,71500.000000,70700.007813,15759283
